Timestamp,TransactionType,Amount
2023-10-30 22:00:00,UPI,2175.01
2023-02-05 20:00:00,NetBanking,3037.8
2023-08-13 14:00:00,UPI,587.66
2023-08-05 07:00:00,UPI,1674.58
2023-08-27 22:00:00,UPI,1300.29
2023-09-19 01:00:00,Card,791.16
2023-01-20 10:00:00,Wallet,357.7
2023-07-04 10:00:00,UPI,1055.33
2023-08-21 10:00:00,UPI,1806.1
2023-12-13 18:00:00,UPI,2919.31
2023-03-12 05:00:00,Card,781.83
2023-02-02 01:00:00,UPI,2235.51
2023-10-17 13:00:00,NetBanking,2175.71
2023-04-12 09:00:00,Card,3337.57
2023-08-10 07:00:00,Card,2456.83
2023-07-30 11:00:00,UPI,2502.88
2023-09-25 12:00:00,Wallet,2559.44
2023-02-19 08:00:00,UPI,1260.61
2023-07-09 19:00:00,UPI,1541.74
2023-05-22 01:00:00,Card,2893.49
2023-09-24 12:00:00,Card,359.36
2023-12-28 02:00:00,UPI,1454.15
2023-04-17 14:00:00,UPI,935.35
2023-11-24 01:00:00,NetBanking,2187.4
2023-03-27 07:00:00,UPI,1662.71
2023-04-25 11:00:00,NetBanking,2500.78
2023-01-08 21:00:00,Card,1912.8
2023-04-24 22:00:00,UPI,763.13
2023-05-06 05:00:00,Card,800.11
2023-07-14 02:00:00,UPI,1995.16
2023-03-21 03:00:00,NetBanking,1383.09
2023-11-19 06:00:00,Card,1573.89
2023-02-22 19:00:00,UPI,2750.73
2023-03-05 16:00:00,Card,2607.23
2023-05-29 04:00:00,Wallet,3438.19
2023-06-12 02:00:00,UPI,1746.93
2023-08-13 17:00:00,Wallet,1487.08
2023-12-18 09:00:00,UPI,2334.55
2023-11-10 01:00:00,UPI,1551.36
2023-04-19 20:00:00,UPI,1577.55
2023-10-21 09:00:00,UPI,1838.32
2023-09-17 19:00:00,UPI,3322.2
2023-08-17 14:00:00,UPI,2563.17
2023-10-23 19:00:00,Wallet,2647.06
2023-02-02 07:00:00,NetBanking,3286.28
2023-12-09 18:00:00,Card,2722.03
2023-05-12 08:00:00,UPI,1094.88
2023-03-08 01:00:00,UPI,2709.91
2023-06-14 07:00:00,UPI,2811.4
2023-11-11 19:00:00,Card,2521.49
2023-05-09 01:00:00,Wallet,1843.65
2023-02-12 13:00:00,UPI,2437.07
2023-06-10 03:00:00,UPI,1983.81
2023-11-29 21:00:00,Card,1217.53
2023-10-14 09:00:00,UPI,1416.29
2023-08-25 11:00:00,UPI,2562.98
2023-01-07 17:00:00,Card,1275.34
2023-06-29 01:00:00,Card,1350.76
2023-02-11 11:00:00,UPI,2602.71
2023-11-14 21:00:00,UPI,2107.03
2023-02-12 08:00:00,Wallet,2461.75
2023-11-24 21:00:00,UPI,1016.79
2023-09-26 07:00:00,UPI,2439.54
2023-11-25 20:00:00,UPI,1471.98
2023-10-13 23:00:00,UPI,1186.49
2023-11-26 20:00:00,UPI,1595.72
2023-12-22 09:00:00,NetBanking,3089.65
2023-02-06 14:00:00,UPI,1708.44
2023-07-23 15:00:00,UPI,52578.75
2023-07-22 11:00:00,Card,350.26
2023-09-21 19:00:00,Card,762.98
2023-12-24 03:00:00,NetBanking,3059.35
2023-12-28 20:00:00,NetBanking,3260.48
2023-10-28 08:00:00,UPI,1309.23
2023-08-08 20:00:00,NetBanking,2055.11
2023-03-27 22:00:00,Card,2569.75
2023-01-03 16:00:00,Wallet,1816.5
2023-11-30 14:00:00,Card,2119.89
2023-04-18 00:00:00,Wallet,2008.75
2023-08-16 15:00:00,NetBanking,814.84
2023-03-26 11:00:00,UPI,1724.27
2023-04-23 07:00:00,Card,2009.89
2023-08-08 02:00:00,Wallet,2082.5
2023-08-23 02:00:00,NetBanking,615.6
2023-10-08 16:00:00,UPI,2602.96
2023-01-17 07:00:00,Card,2103.59
